tissue	ontologyId	gencodeId	geneSymbol	mean_tpm	freq	freq_log
Cervix Endocervix	UBERON:0000458	ENSG00000116717.13	GADD45A	146.792082608696	0.0271296454001516	-0.141182294816804
Spleen	UBERON:0002106	ENSG00000116717.13	GADD45A	57.3046202166065	0.0105908574811296	-0.0694870055602518
Brain Substantia nigra	UBERON:0002038	ENSG00000116717.13	GADD45A	50.4656886885246	0.00932690792761469	-0.0629042617384295
Brain Hypothalamus	UBERON:0001898	ENSG00000116717.13	GADD45A	49.5718764202335	0.00916171638961	-0.0620263442952965
Brain Caudate basal ganglia	UBERON:0001873	ENSG00000116717.13	GADD45A	55.9859332333333	0.010347141950876	-0.0682355092219704
Breast Mammary Tissue	UBERON:0008367	ENSG00000116717.13	GADD45A	175.354357976654	0.0324084342066283	-0.160340302725899
Minor Salivary Gland	UBERON:0006330	ENSG00000116717.13	GADD45A	61.9244987845304	0.0114446887308274	-0.0738088343714642
Heart Atrial Appendage	UBERON:0006631	ENSG00000116717.13	GADD45A	45.5929518004338	0.00842634420814942	-0.0580649051621102
Adrenal Gland	UBERON:0002369	ENSG00000116717.13	GADD45A	27.5497303050847	0.00509165345135913	-0.0387864341934794
Colon Transverse	UBERON:0001157	ENSG00000116717.13	GADD45A	51.8937880793319	0.00959084471071802	-0.0642982352128535
Stomach	UBERON:0000945	ENSG00000116717.13	GADD45A	76.1464336609337	0.0140731414596398	-0.086562651605835
Artery Tibial	UBERON:0007610	ENSG00000116717.13	GADD45A	382.790893777135	0.0707461943861377	-0.270335615921835
Brain Cerebellar Hemisphere	UBERON:0002037	ENSG00000116717.13	GADD45A	11.4864796750903	0.00212289460673397	-0.0188507766442888
Artery Aorta	UBERON:0001496	ENSG00000116717.13	GADD45A	475.838031779661	0.0879428702193749	-0.308441111543088
Heart Left Ventricle	UBERON:0006566	ENSG00000116717.13	GADD45A	44.2417265265487	0.00817661505460953	-0.0566989428450116
Brain Anterior cingulate cortex BA24	UBERON:0009835	ENSG00000116717.13	GADD45A	40.1057158369099	0.00741221072579943	-0.0524479165030437
Cells EBV-transformed lymphocytes	EFO:0000572	ENSG00000116717.13	GADD45A	71.1761859327217	0.0131545560971257	-0.0821935289942005
Colon Sigmoid	UBERON:0001159	ENSG00000116717.13	GADD45A	42.2418818377088	0.0078070101256555	-0.0546569883106455
Fallopian Tube	UBERON:0003889	ENSG00000116717.13	GADD45A	106.318248275862	0.0196494001858282	-0.111399737931883
Cells Cultured fibroblasts	EFO:0002009	ENSG00000116717.13	GADD45A	135.075448006135	0.0249642142924129	-0.132909344304016
Brain Hippocampus	UBERON:0001954	ENSG00000116717.13	GADD45A	38.6398443529412	0.0071412930246842	-0.0509145553783568
Pancreas	UBERON:0001150	ENSG00000116717.13	GADD45A	12.0620293922652	0.00222926587321935	-0.0196380836955251
Lung	UBERON:0008952	ENSG00000116717.13	GADD45A	170.568810927152	0.0315239846355653	-0.15722291915081
Brain Amygdala	UBERON:0001876	ENSG00000132703.4	APCS	0.024452044198895	1.34884438933159e-05	-0.000218214919754576
Brain Cortex	UBERON:0001870	ENSG00000132703.4	APCS	0.0457778148148148	2.52523462523489e-05	-0.000385684716502003
Kidney Medulla	UBERON:0001293	ENSG00000132703.4	APCS	2.77078272727273	0.00152844265507568	-0.014296627473348
Uterus	UBERON:0000995	ENSG00000132703.4	APCS	0.210555620915033	0.000116148476423213	-0.00151826293489871
Skin Not Sun Exposed Suprapubic	UBERON:0036149	ENSG00000132703.4	APCS	0.13760242703533	7.59054172139122e-05	-0.00103879885252395
Whole Blood	UBERON:0013756	ENSG00000132703.4	APCS	2.40382214196762	0.00132601674639971	-0.0126749767669839
Kidney Cortex	UBERON:0001225	ENSG00000132703.4	APCS	2.87192913461538	0.00158423789368046	-0.0147365734312362
