pathway	name	entropy	category	subcategory
04670	Leukocyte transendothelial migration	4.41344028939198	Organismal Systems	Immune system
04672	Intestinal immune network for IgA production	3.94492516068596	Organismal Systems	Immune system
04710	Circadian rhythm	5.1701172715905	Organismal Systems	Environmental adaptation
04713	Circadian entrainment	4.55055670875447	Organismal Systems	Environmental adaptation
04714	Thermogenesis	4.99515417145462	Organismal Systems	Environmental adaptation
04720	Long-term potentiation	4.62121087035987	Organismal Systems	Nervous system
04721	Synaptic vesicle cycle	4.29838823712405	Organismal Systems	Nervous system
04722	Neurotrophin signaling pathway	5.01525619077413	Organismal Systems	Nervous system
04723	Retrograde endocannabinoid signaling	4.69468716079585	Organismal Systems	Nervous system
04724	Glutamatergic synapse	4.47092042762741	Organismal Systems	Nervous system
04725	Cholinergic synapse	4.51903822394336	Organismal Systems	Nervous system
04726	Serotonergic synapse	4.20923036925385	Organismal Systems	Nervous system
04727	GABAergic synapse	4.33074908550357	Organismal Systems	Nervous system
04728	Dopaminergic synapse	4.63122774952864	Organismal Systems	Nervous system
04730	Long-term depression	4.66391552356991	Organismal Systems	Nervous system
04740	Olfactory transduction	4.15915989267061	Organismal Systems	Sensory system
04742	Taste transduction	4.29786819313998	Organismal Systems	Sensory system
04744	Phototransduction	4.15033532230713	Organismal Systems	Sensory system
04750	Inflammatory mediator regulation of TRP channels	4.57443011765131	Organismal Systems	Sensory system
04810	Regulation of actin cytoskeleton	4.44631860875797	Cellular Processes	Cell motility
04814	Motor proteins	4.02071411906662	Cellular Processes	Cell motility
04820	Cytoskeleton in muscle cells	3.81542020740879	Cellular Processes	Cell motility
04910	Insulin signaling pathway	4.78075313196138	Organismal Systems	Endocrine system
04911	Insulin secretion	4.16872222104988	Organismal Systems	Endocrine system
04912	GnRH signaling pathway	4.64566596313694	Organismal Systems	Endocrine system
04913	Ovarian steroidogenesis	3.73577427423029	Organismal Systems	Endocrine system
04914	Progesterone-mediated oocyte maturation	4.64427020576496	Organismal Systems	Endocrine system
04915	Estrogen signaling pathway	4.22781754955397	Organismal Systems	Endocrine system
04916	Melanogenesis	4.61138075555739	Organismal Systems	Endocrine system
04917	Prolactin signaling pathway	4.45692398543655	Organismal Systems	Endocrine system
04918	Thyroid hormone synthesis	3.79010026803025	Organismal Systems	Endocrine system
04919	Thyroid hormone signaling pathway	4.76283345344783	Organismal Systems	Endocrine system
04920	Adipocytokine signaling pathway	4.54863229631958	Organismal Systems	Endocrine system
04921	Oxytocin signaling pathway	4.4934720605744	Organismal Systems	Endocrine system
04922	Glucagon signaling pathway	4.40859935919601	Organismal Systems	Endocrine system
04923	Regulation of lipolysis in adipocytes	4.17063922771191	Organismal Systems	Endocrine system
04924	Renin secretion	4.42242983267363	Organismal Systems	Endocrine system
04925	Aldosterone synthesis and secretion	4.16920617996694	Organismal Systems	Endocrine system
04926	Relaxin signaling pathway	4.73029707047785	Organismal Systems	Endocrine system
04927	Cortisol synthesis and secretion	4.00955418449689	Organismal Systems	Endocrine system
04928	Parathyroid hormone synthesis, secretion and action	4.59727335966929	Organismal Systems	Endocrine system
04929	GnRH secretion	4.55761188850306	Organismal Systems	Endocrine system
04930	Type II diabetes mellitus	4.28025942046387	Human Diseases	Endocrine and metabolic disease
04931	Insulin resistance	4.73192336620815	Human Diseases	Endocrine and metabolic disease
04932	Non-alcoholic fatty liver disease	4.95968794970549	Human Diseases	Endocrine and metabolic disease
04933	AGE-RAGE signaling pathway in diabetic complications	4.81326846538872	Human Diseases	Endocrine and metabolic disease
04934	Cushing syndrome	4.49456506553241	Human Diseases	Endocrine and metabolic disease
04935	Growth hormone synthesis, secretion and action	4.52976346493304	Organismal Systems	Endocrine system
04936	Alcoholic liver disease	4.61190021036941	Human Diseases	Endocrine and metabolic disease
04940	Type I diabetes mellitus	3.96000532677803	Human Diseases	Endocrine and metabolic disease
04950	Maturity onset diabetes of the young	2.75838556804078	Human Diseases	Endocrine and metabolic disease
04960	Aldosterone-regulated sodium reabsorption	4.28197609969073	Organismal Systems	Excretory system
04961	Endocrine and other factor-regulated calcium reabsorption	4.33021753624445	Organismal Systems	Excretory system
