ENSG.ID	Gene.symbol	Label
ENSG00000116663	FBXO6	inflammatome
ENSG00000099331	MYO9B	inflammatome
ENSG00000173432	SAA1	inflammatome
ENSG00000144843	ADPRH	inflammatome
ENSG00000174600	CMKLR1	inflammatome
ENSG00000106066	CPVL	inflammatome
ENSG00000112149	CD83	inflammatome
ENSG00000071575	TRIB2	inflammatome
ENSG00000137757	CASP5	inflammatome
ENSG00000065911	MTHFD2	inflammatome
ENSG00000026025	VIM	inflammatome
ENSG00000149257	SERPINH1	inflammatome
ENSG00000162734	PEA15	inflammatome
ENSG00000214212	C19orf38	inflammatome
ENSG00000167083	GNGT2	inflammatome
ENSG00000157551	KCNJ15	inflammatome
ENSG00000117560	FASLG	inflammatome
ENSG00000163154	TNFAIP8L2	inflammatome
ENSG00000160991	ORAI2	inflammatome
ENSG00000087116	ADAMTS2	inflammatome
ENSG00000178789	CD300LB	inflammatome
ENSG00000100918	REC8	inflammatome
ENSG00000169385	RNASE2	inflammatome
ENSG00000177674	AGTRAP	inflammatome
ENSG00000184557	SOCS3	inflammatome
ENSG00000078098	FAP	inflammatome
ENSG00000121152	NCAPH	inflammatome
ENSG00000164674	SYTL3	inflammatome
ENSG00000204257	HLA-DMA	inflammatome
ENSG00000064932	SBNO2	inflammatome
ENSG00000143384	MCL1	inflammatome
ENSG00000271503	CCL5	inflammatome
ENSG00000105835	NAMPT	inflammatome
ENSG00000152213	ARL11	inflammatome
ENSG00000106785	TRIM14	inflammatome
