K00767	00760 01100 01240
K00768	00860 01100 01240
K00769	00230 01100 01110 01232
K00770	00520 01100
K00771	00532 00534 01100
K00772	00270 01100
K00778	00510 00514 01100
K00779	00510 00514 01100
K00780	00512 00533 00603 00604 01100
K00781	00513 00514 00515 00533 00601 01100
K00787	00900 01100 01110 05164 05166
K00788	00730 01100 01240
K00789	00270 00999 01100 01110 01230 01240
K00790	00520 00550 01100 01250
K00791	00908 01100 01110
K00793	00740 01100 01110 01240
K00794	00740 01100 01110 01240
K00795	00900 01100 01110
K00796	00790 01100 01240
K00797	00270 00330 00480 01100
K00798	00860 01100 01240
K00799	00480 00980 00982 00983 01100 01524 04212 05200 05204 05207 05208 05225 05418
K00800	00400 01100 01110 01230
K00801	00100 00909 01100 01110
K00802	00270 00330 00480 01100
K00803	00565 01100 04146
K00804	00900 01100 01110
K00805	00900 01110
K00806	00550 00900 01110
K00807	00590 01100
K00808	00960 01110
K00811	00220 00250 00270 00330 00350 00360 00400 00950 00960 01100 01110 01210 01230
K00812	00220 00250 00270 00330 00350 00360 00400 00401 00950 00960 01100 01110 01210 01230
K00813	00220 00250 00270 00330 00350 00360 00400 00401 00950 00960 01100 01110 01210 01230
K00814	00220 00250 00710 01100 01120 01200 01210 01230
K00815	00130 00270 00350 00360 00400 00401 00950 00960 01100 01110
K00816	00270 00380 00450 01100 01110
K00817	00340 00350 00360 00400 00401 00960 01100 01110 01230
K00818	00220 01100 01110 01210 01230
K00819	00330 01100 01110
K00820	00250 00520 01100 01250 04931 05415
K00821	00220 00300 01100 01110 01120 01210 01230
K00822	00280 00410 00640 01100
K00823	00250 00410 00640 00650 01100 01120
K00824	00310 00330 00360 00470 01100
K00825	00300 00310 00380 01100 01110 01210
K00826	00270 00280 00290 00770 00966 01100 01110 01210 01230 01240
K00827	00250 00260 00270 00280 01100 01110
K00830	00250 00260 00630 00680 01100 01110 01120 01200 04146
K00831	00260 00270 00680 00750 01100 01110 01120 01200 01230 01240
K00832	00270 00350 00360 00400 00401 00950 00960 01100 01110 01230
K00833	00780 01100 01240
K00835	00290 01100 01110
K00836	00260 01100 01120 01210 01230
K00837	00270 00380 01100
K00838	00130 00270 00300 00350 00360 00380 00400 00401 00950 00960 01100 01110 01210 01230
K00839	00230 01100
K00840	00330 01100
K00841	00300 01100 01110 01230
K00844	00010 00051 00052 00500 00520 00521 00524 01100 01110 01120 01200 01250 04066 04910 04930 04973 05131 05230
K00845	00010 00052 00500 00520 00521 00524 01100 01110 01120 01200 01250
K00846	00051 01100 01120
K00847	00051 00500 00520 01100 01110 01250
K00848	00040 00051 01100 01120
K00849	00052 00520 01100 01250
K00850	00010 00030 00051 00052 00680 01100 01110 01120 01200 01230 03018 04066 04152 04919 04922 05230
K00851	00030 01100 01110 01120 01200
K00852	00030 01100
K00853	00040 01100
K00854	00040 01100
K00855	00710 01100 01120 01200
K00856	00230 01100 01232
K00857	00240 00983 01100 01232
K00858	00760 01100 01240
K00859	00770 01100 01240
K00860	00230 00920 01100 01120
K00861	00740 01100 01110 01240
K00863	00051 00561 00680 01100 01120 01200 04622
K00864	00561 01100 03320 04626
K00865	00260 00561 00630 01100 01110 01120
K00866	00564 01100
K00867	00770 01100 01240
K00868	00750 01100 01240
K00869	00900 01100 01110 04146
K00871	04020 04910 04922
K00872	00260 01100 01110 01120 01230
K00873	00010 00620 01100 01110 01120 01200 01230 04922 04930 05165 05203 05230
K00874	00030 01100 01120 01200
K00875	00040 01100
K00876	00240 00983 01100 01232
K00877	00730 01100 01240
K00878	00730 00740 01100 01240
K00879	00040 00051 01100 01120
K00880	00040 00053 01100
K00881	00051 01100 01120
K00882	00051 01100 02060
K00883	00052 01100
K00884	00520 01100 01250
K00885	00520 01100
K00886	00010 00520 01100 01110 01120 01200 01250
